run_id,statement_id,surface,source_ref,claim_text_verbatim,claim_type,absurdity_ref,marker_matched,confidence_level,coder_id,notes
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-01,report,report:lede,"The simulation predicts significant political and economic turbulence for Valdoria as it navigates joining a new Central European Free Trade Agreement, revealing deep domestic divisions and international scrutiny.",qualitative,none,BARE_DECLARATIVE,2,BC1,"'predicts' not a listed marker; 'revealing' (L1 1.14) in subordinate participial clause - T1 main clause governs"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-02,report,report:Political Fallout/Political Divisions Emerge,"The simulation reveals deep political fractures in Valdoria regarding the proposed Central European Free Trade Agreement.",qualitative,none,reveals,1,BC1,"1.14 legacy anchor"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-03,report,report:Political Fallout/Political Divisions Emerge,"While the government has announced plans to join the agreement with multiple European partners, the decision occurs against a backdrop of international controversy",qualitative,none,BARE_DECLARATIVE,2,BC1,"T1 main clause governs; following sanctions/UNHRC blockquote excluded as seed echo (S5.2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-04,report,report:Political Fallout/Government's Strategic Push,"The Valdorian administration appears determined to pursue the agreement despite potential contradictions in its international standing",qualitative,none,appears,1,BC1,"1.6; 'potential' (L0) inside despite-adjunct NP - no contact with main VP (T1); adjunct alludes to A8; 3x 'announced plans' blockquotes excluded as seed echoes (S5.2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-05,report,report:Political Fallout/Absurdist Political Landscape,"The simulation presents an unusual political environment marked by paradoxical conditions that may complicate domestic reactions",qualitative,none,BARE_DECLARATIVE,2,BC1,"'may' in subordinate relative clause - T1 main clause governs; collective ref to injected absurds; MISATTRIB-framing: absurds presented as produced by 'the simulation'"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-06,report,report:Political Fallout/Absurdist Political Landscape,"Landlocked Deep-Sea Fishing policy",qualitative,A3,BARE_DECLARATIVE,2,BC1,"T2 nominal fragment in structured list (2.12); injected absurd IN SCOPE per INJECT rule"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-07,report,report:Political Fallout/Absurdist Political Landscape,"Border With Japan despite geographical impossibility",qualitative,A2,BARE_DECLARATIVE,2,BC1,"T2 nominal fragment (2.12)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-08,report,report:Political Fallout/Absurdist Political Landscape,"Nuclear Arsenal With No Army",qualitative,A5,BARE_DECLARATIVE,2,BC1,"T2 nominal fragment (2.12)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-09,report,report:Political Fallout/Absurdist Political Landscape,"Elected Monarch For 47 Years",qualitative,A6,BARE_DECLARATIVE,2,BC1,"T2 nominal fragment (2.12); '47 years' part of condition label"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-10,report,report:Political Fallout/Absurdist Political Landscape,"Dual USD and EUR Peg monetary system",qualitative,A4,BARE_DECLARATIVE,2,BC1,"T2 nominal fragment (2.12)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-11,report,report:Political Fallout/Absurdist Political Landscape,"These absurd conditions suggest the political fallout may follow unconventional patterns, with traditional political analysis potentially inadequate to predict outcomes.",qualitative,none,suggest,1,BC1,"1.4 frame verb; Override 2: frame scopes over complement ('may','potentially' inside); collective ref to injected absurds"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-12,report,report:Political Fallout/Absurdist Political Landscape,"The government's ability to maintain contradictory positions (such as being sanctioned while chairing the UNHRC) indicates a political system that may be resilient to conventional pressure tactics from domestic opposition.",qualitative,A8,indicates,1,BC1,"1.5 frame verb; 'may' in complement relative clause capped by frame (Override 2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-13,report,report:Economic Impact/Economic Contradictions and Trade Opportunities,"The simulation reveals Valdoria's economic landscape presents unique challenges and opportunities as it prepares to join the Central European Free Trade Agreement",qualitative,none,reveals,1,BC1,"1.14; 3x 'announced plans' blockquotes excluded as seed echoes (S5.2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-14,report,report:Economic Impact/Dual Currency System Implications,"Valdoria's unusual monetary policy creates both risks and advantages in trade integration",qualitative,A4,creates,2,BC1,"2.10 unhedged causal verb"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-15,report,report:Economic Impact/Dual Currency System Implications,"The dual USD and EUR peg could provide stability when trading with European partners",qualitative,A4,could,0,BC1,"0.3; list item"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-16,report,report:Economic Impact/Dual Currency System Implications,"Potential currency arbitrage opportunities may emerge from the pegged system",qualitative,A4,may,0,BC1,"0.1; 'potential' (0.5) also matched - both L0"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-17,report,report:Economic Impact/Dual Currency System Implications,"Monetary policy flexibility constrained by maintaining two pegs simultaneously",qualitative,A4,BARE_DECLARATIVE,2,BC1,"T2 verbless/participial fragment with propositional content in structured list"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-18,report,report:Economic Impact/Sanctions Paradox,"The economic impact occurs against the contradictory backdrop of:",qualitative,A8,BARE_DECLARATIVE,2,BC1,"colon introduces sanctions/UNHRC blockquote - quote itself excluded as seed echo (S5.2)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-19,report,report:Economic Impact/Sanctions Paradox,"Trade agreement benefits may be partially offset by sanctions limitations",qualitative,A8,may,0,BC1,"0.1; item of colon-list under stem 'This creates a unique scenario where:' (S3a.4 - stem not coded separately)"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-20,report,report:Economic Impact/Sanctions Paradox,"Financial transactions could face additional scrutiny from international partners",qualitative,A8,could,0,BC1,"0.3"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-21,report,report:Economic Impact/Sanctions Paradox,"Some sectors may experience paradoxical growth despite sanctions",qualitative,A8,may,0,BC1,"0.1"
MIRROR-VALDORIA-DEEPSEEK-INJECT2-20260717,R-22,report,report:Economic Impact/Absurdist Economic Conditions,"The simulation presents unconventional economic factors that defy traditional analysis",qualitative,none,BARE_DECLARATIVE,2,BC1,"collective ref to injected absurds; MISATTRIB-framing ('the simulation presents')"
