run_id,statement_id,surface,source_ref,claim_text_verbatim,claim_type,absurdity_ref,marker_matched,confidence_level,coder_id,notes
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-001,report,Lede,"The simulation predicts significant political and economic turbulence for Valdoria following its decision to join a new Central European Free Trade Agreement, compounded by contradictory international sanctions.",qualitative,A8,BARE_DECLARATIVE,2,C1,'predicts' not in closed lists; 2.2 bare indicative; contradictory sanctions = A8
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-002,report,Political Fallout from Trade Agreement Decision,The simulation reveals significant political divisions emerging in Valdoria following the trade agreement announcement.,qualitative,none,reveals,1,C1,1.14 legacy anchor
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-003,report,Political Fallout from Trade Agreement Decision,"While the government strongly supports the move, opposition factions are mobilizing against it:",qualitative,none,BARE_DECLARATIVE,2,C1,2.3 bare present progressive in main clause; T1 subordinate 'while' clause does not govern; cf. rubric ex.7
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-004,report,Political Fallout from Trade Agreement Decision,"Political opposition may arise from domestic industries concerned about increased competition, as well as from nationalist factions prioritizing protectionist policies.",qualitative,none,may,0,C1,0.1
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-005,report,Political Fallout from Trade Agreement Decision,We anticipate measured opposition from constitutional monarchists who traditionally favor more cautious approaches to international commitments.,qualitative,none,anticipate,1,C1,1.3; T4 quote coded on internal marker; rubric ex.9
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-006,report,Political Fallout from Trade Agreement Decision,Frame the agreement as essential for economic modernization and regional integration.,qualitative,none,BARE_DECLARATIVE,2,C1,OOS candidate per 5.6 (imperative/recommendation); coded as given per pre-segmentation
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-007,report,Political Fallout from Trade Agreement Decision,This agreement aligns perfectly with Valdoria's long-term goals of regional economic integration and sustainable development.,qualitative,none,BARE_DECLARATIVE,2,C1,T4 quote; 'perfectly' not in closed L3 list; 2.2 bare indicative
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-008,report,Political Fallout from Trade Agreement Decision,It advances our strategic vision of becoming a hub for international trade while maintaining our commitment to human rights and labor standards.,qualitative,none,BARE_DECLARATIVE,2,C1,T4 quote; 2.2 bare indicative
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-009,report,Political Fallout from Trade Agreement Decision,Express sovereignty concerns and protectionist arguments.,qualitative,none,BARE_DECLARATIVE,2,C1,OOS candidate per 5.6 (imperative); coded as given per pre-segmentation
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-010,report,Political Fallout from Trade Agreement Decision,"Political opposition may come from domestic industries fearing increased competition, particularly in sectors where Valdoria lacks comparative advantage.",qualitative,none,may,0,C1,0.1
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-011,report,Political Fallout from Trade Agreement Decision,There could also be resistance from nationalist factions concerned about sovereignty implications.,qualitative,none,could,0,C1,0.3
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-012,report,Political Fallout from Trade Agreement Decision,The decision occurs amid contradictory international pressures:,qualitative,A8,BARE_DECLARATIVE,2,C1,2.2; contradictory pressures reference the sanctions contradiction (A8)
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-013,report,Political Fallout from Trade Agreement Decision,The simulation suggests potential coalition fractures as constitutional monarchists diverge from the government position.,qualitative,none,suggests,1,C1,1.4 frame verb; inner 'potential'(0.5) modifies NP not the frame VP — no contact override; frame level governs
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-014,report,Political Fallout from Trade Agreement Decision,"Initial enthusiasm may wane as domestic industries face adjustment pressures, with the government acknowledging:",qualitative,none,may,0,C1,0.1; T1 main clause 'may' governs; rubric ex.8
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-015,report,Political Fallout from Trade Agreement Decision,"Some political groups might argue that sovereignty could be compromised, requiring careful diplomatic communication about the agreement's safeguards.",qualitative,none,might,0,C1,0.2 main clause; 'could'(0.3) inside complement same level
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-016,report,Political Fallout from Trade Agreement Decision,"The political fallout appears set to reshape Valdoria's domestic power dynamics, with the trade agreement becoming a defining issue for the current administration.",qualitative,none,appears,1,C1,1.6; hedge-on-contact over 'set to'(2.8); rubric ex.5
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-017,report,Political Fallout from Trade Agreement Decision,This aligns with Valdoria's long-term goals of economic modernization and regional integration by providing structured pathways for trade liberalization and foreign direct investment.,qualitative,none,BARE_DECLARATIVE,2,C1,2.2 bare indicative
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-018,report,Economic Impact and Contradictory Sanctions,The simulation reveals Valdoria faces a unique economic paradox as it pursues regional integration while under international sanctions:,qualitative,A8,reveals,1,C1,1.14 frame; integration-under-sanctions paradox = A8
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-019,report,Economic Impact and Contradictory Sanctions,Immediate tariff elimination for 87% of Valdoria's exports to CEFTA members,quantitative,none,BARE_NUMBER,2,C1,3c.1; rubric ex.1
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-020,report,Economic Impact and Contradictory Sanctions,Projected 22% increase in agricultural exports within first two years,quantitative,none,QUAL_NUM,1,C1,3c.2 qualifier 'projected'(1.9); rubric ex.2
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-021,report,Economic Impact and Contradictory Sanctions,Joining the trade agreement will significantly enhance Valdoria's sanctions resilience by diversifying our economic partnerships and supply chains.,qualitative,none,will,2,C1,2.1 unmodified will; T4 quote; 'significantly' not a listed intensifier
MIRROR-VALDORIA-DEEPSEEK-NOHORIZON-20260716,R-022,report,Economic Impact and Contradictory Sanctions,The contradictory sanctions create complex economic dynamics:,qualitative,A8,create,2,C1,2.10 unhedged causal verb; rubric calibration pair; contradictory sanctions = A8
